Dahili Hafıza,Ekran Boyutu,RAM Kapasitesi,İşletim Sistemi,price
128,7.0,8,0,251
256,7.0,8,0,265
512,7.0,8,1,321
512,7.0,12,0,216
128,7.0,8,0,86
128,7.0,4,0,62
256,7.0,8,0,180
128,7.0,4,0,48
32,7.0,2,0,9
32,7.0,2,0,26
128,7.0,8,0,302
256,7.0,12,0,226
64,7.0,4,0,22
256,7.0,6,1,295
256,7.0,8,0,156
256,7.0,8,1,314
128,7.0,8,0,162
128,7.0,8,0,20
256,7.0,6,0,187
128,7.0,4,0,55
128,7.0,8,0,41
256,7.0,8,0,225
128,7.0,8,0,243
4,7.0,4,0,302
512,7.0,8,1,312
128,7.0,6,1,276
256,7.0,6,1,307
512,7.0,12,0,297
32,7.0,3,0,19
128,7.0,8,0,48
256,7.0,12,0,244
128,7.0,12,0,189
64,7.0,3,0,23
128,7.0,4,0,81
128,7.0,8,0,99
256,7.0,8,0,95
128,7.0,6,1,302
64,7.0,4,1,237
128,7.0,4,0,54
256,7.0,8,0,171
128,7.0,8,0,171
256,7.0,6,1,308
64,7.0,4,0,18
128,7.0,8,0,230
128,7.0,8,0,88
128,7.0,6,0,293
128,7.0,8,0,130
128,7.0,8,0,184
256,7.0,8,0,290
64,7.0,4,0,77
128,7.0,8,0,217
64,7.0,4,0,11
32,7.0,4,0,10
512,7.0,12,0,200
128,7.0,8,0,128
128,7.0,6,0,96
128,7.0,8,0,154
128,7.0,8,0,212
64,7.0,4,0,40
256,7.0,12,0,271
32,7.0,2,0,26
128,7.0,8,0,186
512,7.0,8,0,288
128,7.0,8,0,131
128,7.0,6,0,170
128,7.0,6,0,302
256,7.0,8,0,126
128,7.0,4,1,255
128,7.0,6,0,155
256,7.0,6,1,286
128,7.0,8,0,148
256,7.0,6,1,295
128,7.0,8,0,50
1,7.0,8,1,324
128,7.0,6,0,189
64,7.0,3,0,21
128,7.0,6,0,215
256,7.0,8,0,170
128,7.0,8,0,207
128,7.0,6,1,303
64,7.0,4,0,89
128,7.0,4,0,267
128,7.0,8,0,109
128,7.0,6,0,69
128,7.0,8,0,36
256,7.0,8,0,264
128,7.0,8,0,48
256,7.0,8,0,233
128,7.0,8,0,240
512,7.0,12,0,267
64,7.0,4,0,101
256,7.0,8,0,57
64,7.0,4,0,15
32,7.0,32,0,196
128,7.0,8,0,49
128,7.0,8,0,305
128,7.0,8,0,158
128,7.0,8,0,291
512,7.0,8,1,322
256,7.0,8,0,263
128,7.0,6,0,67
128,7.0,8,0,34
128,7.0,4,0,177
128,7.0,4,0,92
64,7.0,8,0,31
256,7.0,6,1,287
128,7.0,8,0,245
256,7.0,8,0,148
1,7.0,12,0,312
128,7.0,8,0,118
128,7.0,4,0,28
128,7.0,8,0,72
